school	major	degree	season	decision	gpa	status	GRE_AW	GRE_V	GRE_Quant
University Of Chicago	Chemistry	PhD	Fall 2022	Accepted	3.89	American			
University Of South Alabama	Clinical And Counseling Psychology	PhD	Fall 2022	Interview		American			
NIH-Brown GPP	Neuroscience	PhD	Fall 2022	Rejected		American			
University Of South Alabama	Clinical Psychology	Other	Fall 2022	Interview		Other			
Fordham University	Clinical Psychology	PhD	Fall 2022	Interview		American			
University Of South Alabama	Clinical And Counseling Psychology	PhD	Fall 2022	Interview	4.0	American	6.0	160.0	153.0
Northeastern University	Data Science	Masters	Fall 2022	Accepted	3.75	International	3.5	151.0	161.0
Stanford University	Biosciences	PhD	Fall 2022	Wait listed		International			
University Of Michigan (Ann Arbor)	Epidemiology	PhD	Fall 2022	Interview	3.59	International			
Johns Hopkins University	Biostatistics	PhD	Fall 2022	Interview	3.44	International			
University Of South Alabama	Clinical And Counseling Psychology	PhD	Fall 2022	Interview	3.91	American			
Johns Hopkins University	BCMB	PhD	Fall 2022	Rejected		International			
Princeton University	Electrical And Computer Engineering	PhD	Fall 2022	Interview		International			
Columbia University	History	PhD	Fall 2022	Interview		American			
Stanford University	Biomedical Sciences	Other	Fall 2022	Wait listed		Other			
John Jay College Of Criminal Justice	Clinical Psychology	PhD	Fall 2022	Rejected	4.85	American			
University Of California, Los Angeles	Musicology	PhD	Fall 2022	Interview	4.0	American			
Northwestern University	Clinical Psychology	PhD	Fall 2022	Rejected	3.86	American			
Northwestern University	Chemical And Biological Engineering	PhD	Fall 2022	Accepted	3.91	American			
Stanford University	Biomedical Sciences	PhD	Fall 2022	Interview		International			
University Of Colorado Denver	Bioengineering	PhD	Fall 2022	Interview	3.2	American			
University Of Connecticut	Social Psychology	PhD	Fall 2022	Interview	3.65	American			
North Carolina State University	Statistics	PhD	Fall 2022	Rejected	3.95	American			
Northwestern University	Chemical And Biological Engineering	PhD	Fall 2022	Accepted		American			
Vanderbilt University	Medical Physics	Masters	Fall 2022	Interview	3.98	American	5.0	159.0	166.0
New York University	Computer Science	PhD	Fall 2022	Interview		International			
University Of Bristol	Economics	Masters	Fall 2022	Accepted		International			
Carnegie Mellon University	Computer Science	Masters	Fall 2022	Interview	3.8				
John Jay College Of Criminal Justice	Clinical Psychology	PhD	Fall 2022	Rejected		American			
Stanford University	Biology (Hopkins Marine Station)	PhD	Fall 2022	Interview	3.7	American			
University Of Texas At Austin	Human Development And Family Science	PhD	Fall 2022	Rejected		American			
John Jay College Of Criminal Justice	Clinical Psychology	PhD	Fall 2022	Rejected		American			
Emory University	Health Services Research & Health Policy	PhD	Fall 2022	Interview		American			
John Jay College Of Criminal Justice	Clinical Psychology	PhD	Fall 2022	Rejected		American			
University Of Alabama	Clinical Psychology	PhD	Fall 2022	Wait listed		American			
Northwestern University	Clinical Psychology	PhD	Fall 2022	Interview	3.85	American			
Baylor University	Clinical Psychology		Fall 2022	Interview		American			
Washington University In St. Louis (WashU/WUSTL)	Social Work	PhD	Fall 2022	Accepted		International			
University Of Southern California	Urban Education Policy	PhD	Fall 2022	Rejected		International			
Vanderbilt University	Epidemiology	PhD	Fall 2022	Interview	4.0	International			168.0
Stanford University	History	PhD	Fall 2022	Rejected	3.93	American			
Stanford University	History	PhD	Spring 2021	Rejected	4.0	International			
Michigan State University	English	PhD	Fall 2022	Accepted	4.0	American			
University Of Texas At Austin	Geological Sciences	PhD	Fall 2022	Accepted		International			
Harvard University	Bioethics	Masters	Fall 2022	Wait listed		American			
Brandeis University	English	PhD	Fall 2022	Wait listed	3.88	American			
Stanford University	History	PhD	Fall 2022	Rejected	3.9	American			
University Of California, Berkeley	Political Science	PhD	Fall 2022	Accepted	3.87	American	4.5	156.0	156.0
London School Of Economics & Political Science (LSE)	Finance	PhD	Fall 2022	Rejected		International			
University Of California, Berkeley	Materials Science And Engineering	PhD	Fall 2022	Accepted		American			
Yale University	Mathematics	PhD	Fall 2022	Accepted		International			
University Of South Florida	Communication	PhD	Fall 2022	Accepted		International			
Princeton University	Mathematics	PhD	Fall 2022	Rejected		International			
University Of California, Davis	Chemistry	PhD	Fall 2022	Rejected	3.78	International			
University Of Notre Dame	Chemistry	PhD	Fall 2022	Rejected	3.78	International			
University Of Toronto	Art History	PhD	Fall 2022	Accepted	4.0	International			
Stanford University	Statistics	PhD	Fall 2022	Rejected	3.89	International		157.0	170.0
Vanderbilt University	Educational Leadership And Policy	EdD	Fall 2022	Rejected	3.44	American			
New York University	Higher Education	Masters	Fall 2022	Interview	3.97	International			
University Of California, Berkeley	Applied Mathematics	PhD	Fall 2022	Accepted	3.99	International			
University Of Maryland, College Park	Human Development	PhD	Fall 2022	Wait listed		American			
University Of Chicago	History	PhD	Fall 2022	Rejected	4.0	International			
Vanderbilt University	History	PhD	Fall 2022	Rejected	4.0	International			
University Of California, Berkeley	Political Science	PhD	Fall 2022	Accepted	3.82	International	5.0	163.0	166.0
University Of Massachusetts, Amherst	Physics	PhD	Fall 2022	Accepted	3.64	International			
University Of Chicago	History	PhD	Fall 2022	Rejected		American			
University Of California, Berkeley	Political Science	PhD	Fall 2022	Accepted	3.92	International	5.0	161.0	169.0
Harvard University	Art History	PhD	Fall 2022	Accepted		International			
Peabody College, Vanderbilt University	K-12 Educational Leadership And Policy Studies	EdD	Fall 2022	Accepted	3.9	American	4.5	170.0	164.0
Cornell University	Electrical And Computer Engineering	PhD	Fall 2022	Accepted	3.78	American			
Brown University	History	PhD	Fall 2022	Rejected	3.9	American			
Carnegie Mellon University	Electrical And Computer Engineering	PhD	Fall 2022	Accepted		American			
Cornell University	Electrical And Computer Engineering	PhD	Fall 2022	Accepted		American			
Yeshiva University	Clinical Psychology	PhD	Fall 2022	Interview		American			
The Wright Institute	Clinical Psychology		Fall 2022	Interview		American			
Columbia University	Sociomedical Sciences	PhD	Fall 2022	Rejected	3.68	International	5.0	165.0	160.0
University Of Oxford	Biology	PhD	Fall 2022	Interview		International			
The Wharton School	Marketing	PhD	Fall 2022	Interview		International			
Boston University	Linguistics	PhD	Fall 2022	Rejected	3.7	International			
University Of Tennessee	Counseling Psychology	PhD	Fall 2022	Wait listed		International			
City University Of New York (CUNY)	Anthropology	PhD	Fall 2022	Interview		International			
Rensselaer Polytechnic Institute	Physics	PhD	Fall 2022	Accepted	3.56	International			160.0
University Of Nebraska-Lincoln	Physics	PhD	Fall 2022	Accepted	3.56	International			160.0
Massachusetts Institute Of Technology	Physics	PhD	Fall 2022	Interview	4.0	International			
Arizona State University	Computer Science	Masters	Fall 2022	Accepted	3.6	International	4.5	154.0	167.0
Virginia Tech	Computer Science	Masters	Fall 2022	Accepted	3.91	American	5.0	163.0	170.0
University Of Michigan (Ann Arbor)	Sociocultural Anthropology	PhD	Fall 2022	Wait listed	4.0	American			
University Of Wisconsin-Madison	Computer Science	Masters	Fall 2022	Wait listed		International			
Harvard University	Population Health Science (environmental Health Track)	PhD	Fall 2022	Rejected		International			
Robotics, And Control, University Of California, San Diego	Intelligent Systems	Masters	Fall 2022	Accepted	3.86	International	4.5	159.0	170.0
University Of Michigan (Ann Arbor)	School Of Information	PhD	Fall 2022	Rejected		American			
Arizona State University	Human Systems Engineering	PhD	Fall 2022	Accepted		American			
University Of Southern California	East Asian Languages And Cultures	PhD	Fall 2022	Accepted		International			
Princeton University	Politics	PhD	Fall 2022	Accepted	3.95	International	6.0	168.0	166.0
University Of Texas At Dallas	Computer Science	Masters	Fall 2022	Accepted	9.1	International	4.0	154.0	163.0
Virginia Tech	Physics	PhD	Fall 2022	Wait listed	3.7	International			
Harvard University	PHS-GHP Track	PhD	Fall 2022	Rejected		International			
University Of Pennsylvania	Environmental Studies	Masters	Fall 2022	Accepted	3.84	International		162.0	169.0
Virginia Tech	Computer Science	Masters	Fall 2022	Rejected	8.7	International	4.5	161.0	170.0
University Of Rochester	Political Science	PhD	Fall 2022	Accepted	3.78	International			170.0
University Of Washington	Health Services	PhD	Fall 2022	Rejected	3.95	International	3.5	158.0	168.0
University Of Wisconsin-Madison	Economics	PhD	Fall 2022	Accepted	3.96	International			170.0
SUNY Buffalo	Computer Science	Masters	Fall 2022	Accepted	9.99	International	4.5	157.0	166.0
SUNY Buffalo	Computer Science	Masters	Fall 2022	Accepted	3.78	International			
Northern Illinois University (NIU)	Philosophy	Masters	Fall 2022	Accepted	3.93	International			
Virginia Tech	Computer Science	Masters	Fall 2022	Rejected	3.34	International	4.5	161.0	163.0
Northwestern University	Biomedical Engineering	PhD	Fall 2022	Rejected		American			
University Of Maryland	Bioengineering	PhD	Fall 2022	Interview		American			
Virginia Tech	Computer Science	Masters	Fall 2022	Rejected	4.0	International	4.0	158.0	169.0
University Of California, Berkeley	Political Science	PhD	Fall 2022	Rejected	4.0	American	6.0	169.0	163.0
University Of British Columbia	Data Science	Masters	Fall 2022	Accepted	3.92	International			168.0
Virginia Tech	Computer Science	Masters	Fall 2022	Rejected	3.89	International			
University Of Minnesota	Economics	PhD	Fall 2022	Accepted	3.99	American	5.0	169.0	170.0
University Of California, Berkeley	Social Welfare	PhD	Fall 2022	Rejected		International			
Virginia Tech	Computer Science	Masters	Fall 2022	Rejected	9.4	International	4.5	164.0	164.0
Princeton University	Political Science	PhD	Fall 2022	Accepted		International	4.0	160.0	168.0
University Of California, Berkeley	Social Work	PhD	Fall 2022	Rejected	3.9	American			
University Of California, Riverside	Computer Science	PhD	Fall 2022	Accepted	3.75	International	3.5	159.0	170.0
Stanford University	Civil And Environmental Engineering	Masters	Fall 2022	Wait listed		International			
NYU	IDM	Masters	Fall 2022	Interview		International			
University Of Texas At Austin	Urban Design	Masters	Fall 2022	Wait listed	3.3	International	4.0	152.0	157.0
Columbia University	Quantitative Methods In Social Sciences	Masters	Fall 2022	Accepted	3.7	International	4.0	162.0	158.0
Aalto University	SECCLO	Masters	Fall 2022	Rejected		International			
Ohio State University	Electrical And Computer Engineering	Masters	Fall 2022	Accepted		International			
Ohio State University	Statistics	Masters	Fall 2022	Accepted	3.44				169.0
North Carolina State University	Electrical And Computer Engineering	Masters	Fall 2022	Accepted		International			
University Of Southern California	Political Science	PhD	Fall 2022	Accepted	3.88	American	5.5	161.0	168.0
University Of Tennessee Knoxville	Creative Writing Nonfiction	MFA	Fall 2022	Wait listed	4.0	American			
University Of California, Santa Cruz	Physics	Masters	Fall 2022	Rejected		International			
Auburn University	Industrial And Systems Engineering	PhD	Fall 2022	Rejected	3.57	International		153.0	165.0
California Baptist University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.7	American			
University Of Iowa	Audiology	Other	Fall 2022	Accepted	3.98	Other			
University Of California, Los Angeles	Economics	Masters	Fall 2022	Accepted		International			
Brown University	English	PhD	Fall 2022	Rejected		International			
University Of North Carolina, Chapel Hill	Philosophy	PhD	Fall 2022	Rejected		American			
University Of California, Berkeley	English	PhD	Fall 2022	Rejected		International			
University Of California, Berkeley	Education	Masters	Spring 2022	Accepted	3.7	American			
New York University (NYU) - Wagner	Public Administration	PhD	Fall 2022	Rejected		International			
Georgia Institute Of Technology	Biomedical Engineering	PhD	Fall 2022	Interview	3.95	International			
Georgia Institute Of Technology	Analytics	Masters	Fall 2022	Accepted	3.61	International	4.0	168.0	166.0
Boston University	Biomedical Engineering	Masters	Fall 2022	Wait listed	3.7	International			
University Of Pennsylvania	Data Science	Masters	Fall 2022	Rejected	3.52	International			
Indiana University Bloomington	Public Affairs	PhD	Fall 2022	Accepted	3.57	International	4.0	163.0	165.0
Indiana University Bloomington	Physics	Masters	Fall 2022	Rejected		International			
University Of California, San Diego	Electrical And Computer Engineering	Masters	Fall 2022	Accepted		International	3.5	154.0	162.0
University Of Oxford	Japanese Studies	Other	Fall 2022	Rejected		International			
Iowa State University	Plant Biology	PhD	Fall 2022	Accepted		International			
Stanford University	Statistics: Data Science	Masters	Fall 2022	Rejected	3.9	International	4.5	159.0	169.0
UC Berkeley	Concurrent MS/MCP Program	Masters	Fall 2022	Accepted	3.4	International			
Ohio State University	Mathematics	PhD	Fall 2022	Rejected		International			
Rochester Institute Of Technology	MS In Game Design And Development	Masters	Fall 2022	Accepted	4.0	International			
University Of California, Los Angeles	Economics	PhD	Fall 2022	Accepted		American			
University Of Wyoming	Molecular And Cellular Life Sciences (MCLS)	PhD	Fall 2022	Accepted		International			
Stanford University	Statistics	Masters	Fall 2022	Accepted	3.97	International	4.5	163.0	170.0
University Of Iowa	Finance	PhD	Fall 2022	Interview		International	5.0		
Ohio State University	Mathematics	PhD	Fall 2022	Rejected		International			
George Washington University	English	PhD	Fall 2022	Rejected	4.0	American			
Harvard University	Computational Science And Engineering	Masters	Fall 2022	Accepted		American			
Virginia Tech	Computer Science	Masters	Fall 2022	Accepted		International			
Purdue University	Economics	PhD	Fall 2022	Accepted	4.0	International			
Brown University	Physics	PhD	Fall 2022	Wait listed		American			
University Of Southern California	Computational Biology And Bioinformatics	PhD	Fall 2022	Accepted		International			
University Of Windsor	Clinical Psychology	Other	Fall 2022	Rejected	3.8	Other			
University Of Rochester	Mechanical Engineering	PhD	Fall 2022	Rejected	3.54	International			
Purdue University - West Lafayette	Mathematical And Computational Psychology	PhD	Fall 2022	Rejected		International			
Purdue University	Social Psychology	PhD	Fall 2022	Rejected		International			
University Of Michigan (Ann Arbor)	Materials Science And Engineering	PhD	Fall 2022	Accepted	3.8	International	4.5	153.0	168.0
Purdue University - West Lafayette	Civil Engineering	PhD	Fall 2022	Accepted	3.88	International	3.0	149.0	168.0
University Of California, Berkeley	Biostatistics	Masters	Fall 2022	Rejected	3.89	International	4.0	159.0	170.0
Johns Hopkins University	CMDB	PhD	Fall 2022	Accepted		American			
Emory University	Sociology	PhD	Fall 2022	Rejected		American			
University Of Rochester	Finance	PhD	Fall 2022	Accepted		International	5.5		168.0
Cornell Tech	Connective Media	Masters	Fall 2022	Interview		International			
University Of Pennsylvania	History	PhD	Fall 2022	Accepted	3.6	American			
University Of California, Riverside	Electrical And Computer Engineering	PhD	Fall 2022	Interview	3.6	International			
University Of Illinois	Geography	PhD	Fall 2022	Rejected	3.88	International	3.0	149.0	168.0
Cornell University	Mechanical Engineering	PhD	Fall 2022	Rejected	3.6	International			
University Of California, San Diego	Biostatistics	PhD	Fall 2022	Interview		International			
University Of Southern California	Materials Science	PhD	Fall 2022	Accepted	3.68	International	4.0		
University Of Colorado, Boulder	Physics	PhD	Fall 2022	Accepted	3.92	International			
Colorado School Of Mines	Geophysics	PhD	Fall 2022	Accepted	3.92	International			
Penn State University	Geosciences	PhD	Fall 2022	Accepted	3.92	International			
SUNY Buffalo	Global Gender Studies	PhD	Fall 2022	Accepted	4.0	American			
California Institute Of Technology	Mathematics	PhD	Fall 2022	Rejected	3.89	International	4.0	154.0	168.0
University Of Arizona	Gender And Women Studies	PhD	Fall 2022	Rejected	4.0	American			
University Of Minnesota	Feminist Studies	PhD	Fall 2022	Rejected	4.0	American			
University Of Ottawa	Feminist And Gender Studies	PhD	Fall 2022	Accepted	4.0	American			
Stanford	Computer Science	PhD	Fall 2022	Rejected		American			
Carnegie Mellon University	Artificial Intelligence And Innovation	Masters	Fall 2022	Wait listed	3.86	International			
UCLA Anderson	Business Analytics	Masters	Fall 2022	Interview		International			
Indiana University Bloomington	Operations & Decision Technology	PhD	Fall 2022	Interview		International			
University Of Oxford	Computer Science	PhD	Fall 2022	Wait listed		Other			
University Of Chicago	Statistics	PhD	Fall 2022	Wait listed		International			
Penn State University	Economics	PhD	Fall 2022	Accepted		International			
Boston College	Biology	PhD	Fall 2022	Rejected	3.45	International			
Purdue University - West Lafayette	Human Development And Family Studies	PhD	Fall 2022	Rejected		International			
Archaeology And Heritage Of Egypt And The Middle East., University College London	IoA	Masters	Fall 2022	Accepted	3.92	International			
University Of Vermont	History	Masters	Fall 2022	Accepted		American			
Duke University	Public Policy	PhD	Fall 2021	Rejected		American			
University Of California, Berkeley	Civil And Environmental Engineering	Masters	Fall 2022	Accepted		International			
University Of Pennsylvania	City Planning	Masters	Fall 2022	Accepted		International			
Columbia University	Neurobiology And Behavior	PhD	Fall 2022	Wait listed		American			
University Of Massachusetts Amherst	Microbiology	PhD	Fall 2022	Rejected		American			
University Of Utah	Mathematics	PhD	Fall 2022	Rejected		International			
Harvard School Of Public Health	Computational Biology And Quantitative Genetics	Masters	Fall 2022	Accepted	3.61	American			
University Of Pennsylvania	Physics	Other	Fall 2022	Wait listed		Other			
Cornell University	Computer Science	PhD	Fall 2022	Rejected		International			
New York University	Sociology	PhD	Fall 2022	Rejected	3.93	International			
University Of Delaware	Speech Language Pathology	Masters	Fall 2022	Accepted	3.4	American			
New York University	English	PhD	Fall 2022	Rejected	4.0	American			
Northwestern University	Economics	PhD	Fall 2022	Rejected	3.7	American			169.0
University Of Colorado, Boulder	Computer Science	Masters	Fall 2022	Accepted	3.7	International			
Pace University	School-Clinical Child Psychology		Fall 2022	Wait listed		American			
University Of California, Davis	Mathematics	PhD	Fall 2022	Rejected		International			
University Of Toronto	Economics	Other	Fall 2022	Accepted		Other			
Johns Hopkins University	International Relations	Masters	Fall 2022	Wait listed	3.82	International			
Georgia State University	Philosophy	Masters	Fall 2022	Accepted	3.68	International			
Northwestern University	Economics	PhD	Fall 2022	Rejected		International			
Boston University	Health Services Research	PhD	Fall 2022	Wait listed		American			
Northwestern University	Economics	PhD	Fall 2022	Rejected		International			
Texas Christian University (TCU)	Clinical Mental Health Counseling	Masters	Fall 2022	Rejected	3.6	American			
University Of Pennsylvania	Architecture	Masters	Fall 2022	Accepted		International			
Georgia State University	Philosophy	Masters	Fall 2022	Wait listed		American			
Harvard University	Biostatistics	Masters	Fall 2022	Accepted	3.94	American			
New York University	Atmosphere Ocean Science And Mathematics	PhD	Fall 2022	Rejected	3.5	International			
University Of Colorado, Boulder	Speech Language Pathology	Masters	Fall 2022	Rejected	3.7	American	4.8	143.0	150.0
Hunter College	Speech Language Pathology	Masters	Fall 2022	Accepted	3.95	American	5.5	158.0	159.0
New York University	English	PhD	Fall 2022	Rejected		American			
New York University	Sociology	PhD	Fall 2022	Rejected	3.9	International	4.0	155.0	148.0
University Of Kentucky	Gender & Womens Studies	PhD	Fall 2022	Rejected	4.0	American			
Columbia University	Neurobiology And Behavior	PhD	Fall 2022	Wait listed		American			
Georgia Institute Of Technology	Aerospace Engineering	Masters	Fall 2022	Accepted		International			
Georgia Institute Of Technology	Aerospace Engineering	Masters	Fall 2022	Accepted		International			
University Of Virginia	Economics	Other	Fall 2022	Wait listed		Other			
ETH Zurich - Swiss Federal Institute Of Technology	Quantum Engineering	Masters	Fall 2022	Accepted		International			
California University Of Pennsylvania	Clinical Mental Health Counseling	Masters	Fall 2022	Accepted		American			
University Of Alberta	School And Clinical Child Psychology	Other	Fall 2022	Wait listed		Other			
Iowa State University	Materials Science And Engineering	Masters	Fall 2022	Accepted	3.69	International	3.5	154.0	157.0
Penn State University	Finance	PhD	Fall 2022	Accepted	3.94	International	4.5	157.0	166.0
University Of California, San Diego	Computer Science	PhD	Fall 2022	Rejected		International			
Brown University	Economics	PhD	Fall 2022	Accepted		International			169.0
Fordham University	Economics	PhD	Fall 2022	Rejected		International			
University Of California, Berkeley	Mechanical Engineering	PhD	Fall 2022	Rejected		International			
University Of California, Los Angeles	Computer Science	Masters	Fall 2022	Accepted	3.73	International		157.0	166.0
University Of Brit	TESL	PhD	Fall 2022	Rejected	4.0	International			
Georgia Institute Of Technology	Electrical And Computer Engineering	Masters	Fall 2022	Rejected		International			
University Of British Columbia	Teaching English As A Second Language	PhD	Fall 2022	Rejected	3.94	International			
All	Economics	PhD	Fall 2022	Wait listed		International			
University Of California, Berkeley	Mechanical Engineering	PhD	Fall 2022	Rejected		International			
Santa Clara University	Computer Science	Masters	Fall 2022	Accepted	4.88	International	99.99	154.0	321.0
University Of California, Berkeley	Mechanical Engineering	PhD	Fall 2022	Rejected		American			
University Of Maryland	Clinical Psychological Science	Masters	Fall 2022	Accepted		American			
York University	Sociology	PhD	Fall 2022	Accepted	4.0	International			
University Of Houston	Philosophy	Masters	Fall 2022	Accepted	3.57	American			
Syracuse University	Computer Science	PhD	Fall 2022	Rejected	3.1	International			330.0
UC Santa Barbara	Psychology	PhD	Fall 2022	Rejected	3.92	American			
Duke	Engineering Mana	Masters	Fall 2022	Rejected	3.64	International	4.0	156.0	169.0
University Of New Mexico	Rhetoric And Writing	PhD	Fall 2022	Wait listed		American			
Dartmouth College	Engineering	PhD	Fall 2022	Accepted		International			
University Of Wisconsin-Madison	Computer Science; Professional Masters Program (PMP)	Masters	Fall 2022	Accepted	3.63	American			
University Of California, Santa Barbara	Psychology	PhD	Fall 2022	Rejected		International			
University Of Houston	Clinical Psychology	PhD	Fall 2022	Rejected	3.1	American			
University Of Colorado, Boulder	Civil And Environmental Engineering	PhD	Fall 2022	Rejected	3.76	International			
University Of Ottawa	Epidemiology	Other	Fall 2022	Rejected		Other			
University Of British Columbia	Library And Information Science	Masters	Fall 2022	Wait listed	3.8	International			
CSU East Bay	Speech Language Pathology	Masters	Spring 2022	Wait listed	3.6	American			
Michigan Technological University	Physics	PhD	Fall 2022	Rejected	3.4	American	4.0	161.0	158.0
Vanderbilt University	Anthropology	PhD	Fall 2022	Wait listed					
New York University	Computer Science	Masters	Fall 2022	Rejected	3.7	International	4.0	153.0	161.0
University Of Pennsylvania	History	PhD	Fall 2022	Wait listed		International			
Kansas State University	Mechanical Engineering	PhD	Fall 2022	Rejected	3.29	International			
Mississippi State University	Mechanical Engineering	PhD	Fall 2022	Accepted	3.29	International			
New York University	Mechanical Engineering	PhD	Fall 2022	Rejected	3.34	International			169.0
UNC Chapel Hill	Computer Science	PhD	Fall 2022	Rejected		International			
Eastern Washington University	School Psychology	Masters	Fall 2022	Rejected	3.79	American			
University Of Michigan (Ann Arbor)	Computer Science	Masters	Fall 2022	Rejected	3.8	International			
Northwestern University	Learning Sciences	Other	Fall 2022	Wait listed		Other			
Michigan State University	Biomolecular Science (BMS)	PhD	Fall 2022	Accepted	3.9	American			
University Of Pittsburgh	Accounting	Other	Fall 2022	Interview		Other			
Carnegie Mellon University	Robotics	Masters	Fall 2022	Rejected		International			
Fordham University	Clinical Psychology	PhD	Fall 2022	Rejected		American			
University Of Cambridge	Computer Science	Masters	Fall 2022	Accepted		International			
Carnegie Mellon University	Robotics	Masters	Fall 2022	Rejected	3.71	International			167.0
UC Berkerley	City Planning	Masters	Fall 2022	Accepted	3.96	International			
Georgia Institute Of Technology	Physics	PhD	Fall 2022	Rejected	3.9	International			
Fordham University	School Psychology	PhD	Fall 2022	Interview		American			
MIT Sloan School Of Management	Finance	PhD	Fall 2022	Accepted		International			168.0
Yale University	Economics	PhD	Fall 2022	Accepted		American			
Yale University	Economics	PhD	Fall 2022	Accepted	3.97	American			170.0
University Of Minnesota	Biomedical Engineering	PhD	Fall 2022	Wait listed	3.75	American			
University Of Toronto	Cinema And Media Studies	PhD	Fall 2022	Rejected	3.0	International			
Carnegie Mellon University	Computer Science	Masters	Fall 2022	Rejected	8.5	International	4.5	162.0	169.0
University Of Nebraska- Omaha	Speech Language Pathology	Masters	Fall 2022	Accepted	3.84	American	4.0	159.0	155.0
University Of Southern California	Electrical Engineering	Masters	Fall 2022	Rejected		International			
University Of Texas At Austin	Sociocultural Anthropology	PhD	Fall 2022	Rejected		International			
University Of Washington	Civil And Environmental Engineering	Masters	Fall 2022	Rejected		International			
George Mason University	Industrial Organizational Psychology	PhD	Fall 2022	Accepted	3.97	American	6.0	165.0	157.0
University Of Michigan (Ann Arbor)	Biostatistics	PhD	Fall 2022	Rejected		International			
Georgia Institute Of Technology	Operations Research	PhD	Fall 2022	Rejected	3.46	American	3.5	156.0	154.0
Yale	Statistics And Data Science	Masters	Fall 2022	Accepted	3.98	International		158.0	170.0
University Of Texas At Austin	Sociocultural Anthropology	PhD	Fall 2022	Rejected		International			
Penn State University	Computer Science	Masters	Fall 2022	Interview	3.89	American			
Georgia Institute Of Technology	Physics	PhD	Fall 2022	Rejected		International			
West Virginia University	English	Masters	Fall 2022	Rejected	4.0	American		164.0	
Stanford University	Linguistics	PhD	Fall 2022	Rejected		International			
Wake Forest University	Psychology MA	Masters	Fall 2022	Interview	3.97	International			
University Of Pennsylvania	Philosophy	PhD	Fall 2022	Wait listed	3.94	American			
Emory University	Comparative Literature	PhD	Fall 2022	Accepted		American			
University Of Kansas	Civil Engineering	Masters	Fall 2022	Accepted	3.8	International	4.0	160.0	165.0
Duke University	Sociology	PhD	Fall 2022	Wait listed		American			
Oregon State University	Applied Economics	PhD	Fall 2022	Rejected	3.65	International			164.0
University Of Oxford	Engineering Science	PhD	Fall 2022	Interview	3.4	International			
Oxford	Engineering Science	PhD	Fall 2022	Interview	3.4	International			
University Of Toronto	Physics	PhD	Fall 2022	Accepted	3.83	Other			
Northern Arizona University	Creative Writing - CNF	MFA	Fall 2022	Accepted	3.9	American			
University Of Toronto	Physics	PhD	Fall 2022	Accepted		International			
Lehigh University	Counseling Psychology	PhD	Fall 2022	Wait listed	3.8	American			
University Of California, Berkeley	EECS	Masters	Fall 2022	Accepted		International			
University Of Massachusetts, Amherst	Comparative Literature	PhD	Fall 2022	Wait listed		International			
Arizona State University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.82	American			
Yale University	Economics	Masters	Fall 2022	Accepted	4.0	International			170.0
University Of Oxford	Computer Science	PhD	Fall 2022	Rejected	3.88	International			
University Of California, Santa Barbara	Ecology Evolution And Marine Biology	Masters	Fall 2022	Accepted	3.1	American			
Columbia University	Management Science And Engineering	Masters	Fall 2022	Accepted		American			
University Of Southern California	Electrical And Computer Engineering	Masters	Fall 2022	Accepted		American			
University Of California, Los Angeles	Electrical And Computer Engineering	Masters	Fall 2022	Accepted	3.7	American			
University Of Calgary	LLAC Applied Linguistics	PhD	Fall 2022	Interview		International			
Boston University	Mathematics	PhD	Fall 2022	Rejected	3.88	American			
University Of Alabama	Biology	PhD	Fall 2022	Accepted		International			
Temple University	Mathematics	PhD	Fall 2022	Wait listed	3.88	American			
Brandeis University	Mathematics	PhD	Fall 2022	Wait listed	3.88	American			
University Of British Columbia	Statistics	Masters	Fall 2022	Accepted		International			
University Of Wisconsin-Madison	Mathematics	PhD	Fall 2022	Rejected	3.88	American			
University Of Connecticut	Mathematics	PhD	Fall 2022	Accepted	3.88	American			
Central European University (CEU)	Gender Studies	Masters	Fall 2022	Rejected		International			
Dartmouth College	Mathematics	PhD	Fall 2022	Rejected	3.88	American			
Brown University	Mathematics	PhD	Fall 2022	Rejected	3.88	American			
The Scripps Research Institute	Biological And Chemical Sciences	PhD	Fall 2022	Accepted	3.3	American			
University Of Toronto HPS&T	Philosophy	PhD	Fall 2022	Rejected	3.94	American			
The Scripps Research Institute	Biological And Chemical Science	PhD	Fall 2022	Interview	3.3	American			
Purdue University - West Lafayette	Mathematics	PhD	Fall 2022	Accepted	3.88	American	4.0	156.0	161.0
Yale University	International And Development Economics	Masters	Fall 2022	Rejected		International			
University Of New Hampshire	Mathematics	PhD	Fall 2022	Accepted	3.88	American	4.0	156.0	161.0
Duke University	Biomedical Sciences	Masters	Fall 2022	Accepted	3.96	American			
Mayo Clinic	Regenerative Science	PhD	Fall 2022	Rejected	3.3	American			
Mayo Clinic	Regenerative Sciences	PhD	Fall 2022	Interview	3.3	American			
University Of Texas Southwestern Medical Center	Basic Biomedical Sciences	PhD	Fall 2022	Accepted	3.3	American			
University Of Texas Southwestern Medical Center	Basic Biomedical Sciences	PhD	Fall 2022	Interview	3.3	American			
All PhD In Finance Program	Finance	PhD	Fall 2022	Wait listed		International			
Harvard University	Biological And Biomedical Sciences	PhD	Fall 2022	Rejected	3.3	American			
Albert Einstein College Of Medicine	Biomedical Sciences	PhD	Fall 2022	Rejected	3.3	American			
